Disease,Diet
(Vertigo) Paroxysmal Positional Vertigo,"['Bananas and Avocados', 'Low-Salt Diet', 'Hydration', 'Ginger Tea', 'Vitamin D-Rich Foods']"
Acne,"['Lean Proteins', 'Low-Glycemic Diet', 'Hydration', 'Fruits and Vegetables', 'Probiotics']"
AIDS,"['Balanced Diet', 'Protein-Rich Foods', 'Fruits and Vegetables', 'Whole Grains', 'Healthy Fats']"
Alcoholic Hepatitis,"['Liver-Healthy Diet', 'Low-Fat Diet', 'Fruits and Vegetables', 'Whole Grains', 'Lean Proteins']"
Allergy,"['Elimination Diet', 'Omega-3-Rich Foods', 'Vitamin C-Rich Foods', 'Quercetin-Rich Foods', 'Probiotics']"
Arthritis,"['Polyphenol-Rich Teas', 'Anti-Inflammatory Diet', 'Omega-3-Rich Foods', 'Fruits and Vegetables', 'Whole Grains']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-Rich Foods', 'Fruits and Vegetables', 'Whole Grains', 'Lean Proteins']"
Cervical Spondylosis,"['Beans, Peas and Lentils', 'Anti-Inflammatory Diet', 'Omega-3-Rich Foods', 'Fruits and Vegetables', 'Whole Grains']"
Chickenpox,"['Herbal Tea', 'High-Calorie Diet', 'Soft and Bland Foods', 'Hydration', 'Protein-Rich Foods']"
Chronic Cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean Proteins', 'Whole Grains', 'Fresh Fruits and Vegetables']"
Common Cold,"['Mild Spice Foods', 'Hydration', 'Warm Fluids', 'Rest', 'Honey and Lemon Tea']"
Dengue,"['Pulses and Legumes', 'Hydration', 'High-Calorie Diet', 'Soft and Bland Foods', 'Protein-Rich Foods']"
Diabetes,"['Low-Glycemic Diet', 'Fiber-Rich Foods', 'Lean Proteins', 'Healthy Fats', 'Low-Fat Dairy']"
Dimorphic Hemorrhoids (piles),"['Broccoli, Cauliflower and Radish', 'High-Fiber Diet', 'Hydration', 'Bean Sprouts', 'Stool Softeners']"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-Rich Foods', 'Vitamin C-Rich Foods', 'Quercetin-Rich Foods', 'Probiotics']"
Fungal Infection of the Hair,"['Vitamin-Rich Diet', 'Eggs', 'Carrots', 'Spinach', 'Nuts']"
Fungal Infection of the Skin,"['Anti-Fungal Diet', 'Garlic', 'Coconut Oil', 'Yogurt', 'Turmeric']"
GERD,"['Low-Acid Diet', 'Fiber-Rich Foods', 'Ginger', 'Licorice', 'Aloe vera Juice']"
Heart Attack,"['Heart-Healthy Diet', 'Low-Sodium Foods', 'Fruits and Vegetables', 'Whole Grains', 'Lean Proteins']"
Hypertension,"['DASH Diet', 'Low-Sodium Foods', 'Fruits and Vegetables', 'Whole Grains', 'Lean Proteins']"
Hyperthyroidism,"['Broccoli, Cauliflower and Cabbage', 'Low-Iodine Diet', 'Calcium-Rich Foods', 'Selenium-Rich Foods', 'Fruits and Vegetables']"
Hypoglycemia,"['Seafood', 'Complex Carbohydrates', 'Protein-Rich Snacks', 'Fiber-Rich Foods', 'Healthy Fats']"
Hypothyroidism,"['Chicken and Yogurt', 'Iodine-Rich Foods', 'Selenium-Rich Foods', 'Fruits and Vegetables', 'Whole Grains']"
Impetigo,"['Eggs and Almonds', 'Antibiotic Treatment', 'Fruits and Vegetables', 'Hydration', 'Protein-Rich Foods']"
Infectious Gastroenteritis,"['Oral Rehydration Solutions (ORS)', 'Bananas', 'Rice', 'Apple sauce', 'Toast']"
Intracerebral Hemorrhage (paralysis),"['Cinnamon, Turmeric and Ginger', 'Olive Oil', 'Fish', 'Fresh Vegetables', 'Legumes']"
Intracranial Hemorrhage (paralysis),"['Aviod Sugar and Salty Foods', 'Leafy Greens', 'Nuts', 'Whole Grains', 'Low-Sodium Foods']"
Jaundice,"['Liver-Healthy Diet', 'Low-Fat Diet', 'Fruits and Vegetables', 'Whole Grains', 'Lean Proteins']"
Liver Disease,"['Healthy Fats', 'Coffee', 'Green Tea', 'Leafy Vegetables', 'Lean Proteins']"
Malaria,"['Fresh Juices', 'Hydration', 'High-Calorie Diet', 'Soft and Bland Foods', 'Oral Rehydration Solutions (ORS)']"
Migraine,"['Omega-3-Fatty Acids', 'Low-Tyramine Diet', 'Caffeine Withdrawal', 'Hydration', 'Magnesium-Rich Foods']"
Noninfectious Gastroenteritis,"['Low-Fiber Diet', 'Boiled Potatoes', 'White Bread', 'Lean Chicken', 'Steamed Vegetables']"
Osteoarthritis,"['Fish and Olive Oil', 'Anti-Inflammatory Diet', 'Omega-3-Rich Foods', 'Fruits and Vegetables', 'Whole Grains']"
Peptic Ulcer Disease,"['Low-Acid Diet', 'Fiber-Rich Foods', 'Ginger', 'Licorice', 'Aloe vera Juice']"
Pneumonia,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and Bland Foods', 'Hydration', 'Protein-Rich Foods']"
Psoriasis,"['Shell Fish', 'Anti-Inflammatory Diet', 'Omega-3-Rich Foods', 'Fruits and Vegetables', 'Whole Grains']"
Tuberculosis,"['Healthy Fats', 'High-Calorie Diet', 'Soft and Bland Foods', 'Hydration', 'Protein-Rich Foods']"
Typhoid,"['Coconut Water', 'High-Calorie Diet', 'Soft and Bland Foods', 'Hydration', 'Protein-Rich Foods']"
Urinary Tract Infection,"['Avoid Spicy Foods, Caffeine and Sugar', 'Hydration', 'Cranberry Juice', 'Probiotics', 'Vitamin C-Rich Foods']"
Varicose Veins,"['Vitamin-C,E Rich Foods', 'High-Fiber Diet', 'Fruits and Vegetables', 'Whole Grains', 'Low-Sodium Foods']"
Viral Hepatitis,"['Immune-Boosting Diet', 'Citrus Fruits', 'Nuts', 'Green Vegetables', 'Lean Protein']"
