Disease,Medications
(Vertigo) Paroxysmal Positional Vertigo,"['Topical Treatments', 'Antibiotics', 'Oral Medications', 'Hormonal Treatments', 'Isotretinoin']"
Acne,"['Antibiotics', 'Pain Relievers', 'Antihistamines', 'Corticosteroids', 'Topical Treatments']"
AIDS,"['Antiretroviral Drugs', 'Protease Inhibitors', 'Integrase Inhibitors', 'Entry Inhibitors', 'Fusion Inhibitors']"
Alcoholic Hepatitis,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']"
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Leukotriene Modifiers']"
Arthritis,"['Vestibular Rehabilitation', 'Canalith Repositioning', 'Medications for Nausea', 'Surgery', 'Home Exercises']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled Corticosteroids', 'Leukotriene Modifiers', 'Mast Cell Stabilizers', 'Anticholinergics']"
Cervical Spondylosis,"['Pain Relievers', 'Muscle Relaxants', 'Physical Therapy', 'Neck Braces', 'Corticosteroids']"
Chickenpox,"['Antiviral Drugs', 'Pain Relievers', 'IV fluids', 'Blood Transfusions', 'Platelet Transfusions']"
Chronic Cholestasis,"['Ursodeoxycholic Acid', 'Cholestyramine', 'Vitamin K', 'Rifampin', 'Phenobarbital']"
Common Cold,"['Antibiotics', 'Antiviral Drugs', 'Antifungal Drugs', 'IV fluids', 'Oxygen Therapy']"
Dengue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']"
Diabetes,"['Metformin', 'Insulin', 'Sulfonylureas', 'GLP-1 Agonists', 'DPP-4 Inhibitors']"
Dimorphic Hemorrhoids (piles),"['Nitroglycerin', 'Aspirin', 'Beta-Blockers', 'Calcium Channel Blockers', 'Thrombolytic Drugs']"
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Activated Charcoal', 'Supportive Care']"
Fungal Infection of the Hair,"['Oral Antifungal Medications (Griseofulvin)', 'Antifungal Shampoos (Ketoconazole)', 'Topical Antifungal Creams', 'Scalp Moisturizers', 'Steroid Scalp Lotions (if required)']"
Fungal Infection of the Skin,"['Topical Antifungal Creams', 'Oral Antifungal Tablets', 'Medicated Shampoos', 'Antihistamines (for Itching)', 'Corticosteroid Creams (if severe)']"
GERD,"['Proton Pump Inhibitors', 'H2 Blockers', 'Antacids', 'Sucralfate', 'Prokinetics']"
Heart Attack,"['Compression Stockings', 'Exercise', 'Elevating the Legs', 'Sclerotherapy', 'Laser Treatments']"
Hypertension,"['ACE Inhibitors', 'Beta-Blockers', 'Calcium Channel Blockers', 'Diuretics', 'Angiotensin II Receptor Blockers']"
Hyperthyroidism,"['Glucose Tablets', 'Candy or Juice', 'Glucagon Injection', 'IV Dextrose', 'Diazoxide']"
Hypoglycemia,"['Pain Relievers', 'Exercise', 'Hot and Cold Packs', 'Joint Protection', 'Physical Therapy']"
Hypothyroidism,"['Antithyroid Medications', 'Radioactive Iodine', 'Thyroid Surgery', 'Beta-Blockers', 'Corticosteroids']"
Impetigo,"['Topical Antibiotics', 'Oral Antibiotics', 'Antiseptics', 'Ointments', 'Warm Compresses']"
Infectious Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Antibiotics (if bacterial)', 'Antiemetics', 'Antidiarrheals', 'Probiotics']"
Intracerebral Hemorrhage (paralysis),"['Antihypertensive Medications', 'Anticonvulsants', 'Osmotic Diuretics', 'Corticosteroids', 'Pain Relievers']"
Intracranial Hemorrhage (paralysis),"['Anticoagulant Reversal Agents', 'Antihypertensives', 'Osmotic Diuretics (Mannitol)', 'Neuroprotective Agents', 'Sedatives (if required)']"
Jaundice,"['IV fluids', 'Blood Transfusions', 'Liver Transplant', 'Medications for Itching', 'Antiviral Medications']"
Liver Disease,"['Hepatoprotective Agents (Ursodeoxycholic Acid)', 'Antiviral Medications (if Viral)', 'Diuretics', 'Vitamin K Supplements', 'Lactulose (for Encephalopathy)']"
Malaria,"['Antimalarial Drugs', 'Antipyretics', 'Antiemetic Drugs', 'IV fluids', 'Blood Transfusions']"
Migraine,"['Analgesics', 'Triptans', 'Ergotamine Derivatives', 'Preventive Medications', 'Biofeedback']"
Noninfectious Gastroenteritis,"['Antiemetics', 'Antidiarrheals', 'Proton Pump Inhibitors', 'H2 Blockers', 'Pain Relievers (as needed)']"
Osteoarthritis,"['NSAIDs', 'Disease-Modifying Anti-Rheumatic Drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint Replacement Surgery']"
Peptic Ulcer Disease,"['Proton Pump Inhibitors', 'H2 Blockers', 'Antacids', 'Sucralfate', 'Bismuth Subsalicylate']"
Pneumonia,"['Laxatives', 'Pain Relievers', 'Warm Baths', 'Cold Compresses', 'High-Fiber Diet']"
Psoriasis,"['Topical Treatments', 'Phototherapy', 'Systemic Medications', 'Biologics', 'Coal Tar Ointment']"
Tuberculosis,"['Antipyretics', 'Decongestants', 'Cough Suppressants', 'Antihistamines', 'Pain Relievers']"
Typhoid,"['Vaccination', 'Antiviral Drugs', 'IV fluids', 'Blood Transfusions', 'Liver Transplant']"
Urinary Tract Infection,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']"
Varicose Veins,"['Compression Stockings', 'Sclerotherapy', 'Endovenous Laser Therapy', 'Radiofrequency Ablation', 'Venoactive Drugs']"
Viral Hepatitis,"['Antiviral Medications (Tenofovir)', 'Interferon Therapy', 'Hepatoprotective Agents', 'Immunomodulators', 'Pain Relievers (as needed)']"
