Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
(Vertigo) Paroxysmal Positional Vertigo,Lie Down,Avoid Sudden Change in Body,Avoid Abrupt Head Movment,Relax
Acne,Bath Twice,Avoid Fatty & Spicy Food,Drink Plenty of Water,Avoid too Many Products
AIDS,Avoid Open Cuts,Wear PPE if Possible,Consult Doctor,Follow up Health Daily
Alcoholic Hepatitis,Stop Alcohol Consumption,Consult Doctor,Use Medications,Follow up Health Daily
Allergy,Apply Calamine,Cover Area with Bandage,Wash Clothes Often,Use Ice to Compress Itching
Arthritis,Exercise,Use Hot and Cold Therapy,Try Acupuncture,Massage
Bronchial Asthma,Switch to Loose Clothing,Take Deep Breaths,Get Away from Trigger,Seek Help
Cervical Spondylosis,Use Heating Pad or Cold Pack,Exercise,Take OTC Pain Reliver,Consult Doctor
Chickenpox,Use Neem in Bathing ,Consume Neem Leaves,Take Vaccine,Avoid Public Places
Chronic Cholestasis,Cold Baths,Anti-Itch Medicine,Consult Doctor,Eat Healthy Food
Common Cold,Drink Vitamin-C Rich Drinks,Take Vapour,Avoid Cold Food,Keep Fever in Check
Dengue,Drink Papaya Leaf Juice,Avoid Fatty & Spicy Food,Keep Mosquitos Away,Keep Hydrated
Diabetes,Have Balanced Diet,Exercise,Consult Doctor,Follow up Health Daily
Dimorphic Hemorrhoids (piles),Avoid Fatty & Spicy Food,Consume Witch Hazel,Warm Bath with Epsom Salt,Consume Aloe vera Juice
Drug Reaction,Stop Irritation,Consult Nearest Hospital,Stop Taking Drug,Follow up Health Daily
Fungal Infection of the Hair,Wash Hair Regularly with Antifungal Shampoo,Avoid Sharing Combs or Towels,Keep the Scalp Clean and Dry,Avoid Scratching the Infected Area
Fungal Infection of the Skin,Keep the Affected Area Clean and Dry,Avoid Sharing Personal Items,Wear Breathable Clothing,Use Antifungal Products as Prescribed
GERD,Avoid Fatty & Spicy Food,Avoid Lying down after Eating,Maintain Healthy Weight,Exercise
Heart Attack,Call Ambulance,Chew or Swallow Asprin,Keep Calm,Take Nitroglycerin for Chest Pain
Hypertension,Use Meditations,Salt Baths,Reduce Stress,Get Proper Sleep
Hyperthyroidism,Eat Healthy Food,Massage,Use Lemon Balm,Take Radioactive Iodine Treatment
Hypoglycemia,Lie Down on Side,Check in Pulse,Drink Sugary Drinks,Consult Doctor
Hypothyroidism,Reduce Stress,Exercise,Eat Healthy Food,Get Proper Sleep
Impetigo,Soak Affected Area in Warm Water,Use Antibiotics,Remove Scabs with Wet Compressed Cloth,Consult Doctor
Infectious Gastroenteritis,Wash Hands Regularly,Avoid Contaminated Food and Water,Isolate Infected Individuals,Disinfect Surfaces Frequently
Intracerebral Hemorrhage (paralysis),Avoid Strenuous Activities,Monitor Blood Pressure Regularly,Seek Immediate Medical Help for Symptoms,Avoid Blood-Thinning Medications without a Prescription
Intracranial Hemorrhage (paralysis),Control Blood Pressure,Avoid Smoking and Alcohol,Get Regular Medical Check-Ups,Maintain a Healthy Diet and Weight
Jaundice,Drink Plenty of Water,Consume Milk Thistle,Eat Fruits and High Fiberous Food,Use Medications
Liver Disease,Avoid Alcohol Consumption,"Eat a Balanced, Low-Fat Diet",Avoid Exposure to Toxins,Get Vaccinated for Hepatitis
Malaria,Consult Nearest Hospital,Avoid Oily Food,Avoid Non-Veg Food,Keep Mosquitos out
Migraine,Use Meditations,Reduce Stress,Use Poloroid Glasses in Sun,Consult Doctor
Noninfectious Gastroenteritis,Avoid Spicy & Oily Foods,Drink Plenty of Fluids,Take Rest and Avoid Stress,"Eat Small, Bland Meals"
Osteoarthritis,Acetaminophen,Consult Nearest Hospital,Follow up Health Daily,Salt Baths
Peptic Ulcer Disease,Avoid Fatty & Spicy Food,Consume Probiotic Food,Eliminate Milk,Limit Alcohol (if drinking)
Pneumonia,Consult Doctor,Use Medications,Take Rest,Follow up Health Daily
Psoriasis,Wash Hands with Warm Soapy Water,Stop Bleeding using Pressure,Consult Doctor,Salt Baths
Tuberculosis,Cover Mouth,Consult Doctor,Use Medications,Take Rest
Typhoid,Eat High Calorie Vegetables,Antiboitic Therapy,Consult Doctor,Use Medications
Urinary Tract Infection,Drink Plenty of Water,Increase Vitamin-C Intake,Drink Cranberry Juice,Take Probiotics
Varicose Veins,Lie Down Flat and Raise the Leg High,Use Oinments,Use Vein Compression,Don't Stand Still for Long
Viral Hepatitis,Avoid Sharing Needles or Razors,Get Vaccinated as Required,Practice Safe Hygiene and Sanitation,Avoid Uncooked or Unhygienic Food
